No,ID,Scenario,Mode,Choice,Nationality,Gender,Mar,Age,Job,Edu,Hinc,Hcar,Hmem,Carown,AirClass,Dependency,WeaCon,Tpp,ChLug,Accom,TCost_MT,TCost_Car,TCost_Taxi,TCost_Bus,TCost_VCAT,VehCost_MT, VehCost_Car ,VehCost_Taxi ,VehCost_Bus , VehCost_VCAT ,Ttime_MT,Ttime_Car, Ttime_Taxi ,Ttime_Bus,Ttime_VCAT,Vehtime_MT,Vehtime_Car,Vehtime_Taxi,Vehtime_Bus,Vehtime_VCAT,Accesstime_MT,Accesstime_Car,Accesstime_Taxi,Accesstime_Bus,Accesstime_VCAT,Wtime_MT,Wtime_Car,Wtime_Taxi,Wtime_Bus,Wtime_VCAT,Delay_MT,Delay_Car,Delay_Car,Delay_Taxi1,Delay_Taxi,Delay_Bus1,Delay_Bus,Delay_VCAT,Safe_MT,Safe_Car,Safe_Taxi,Safe_Bus,Safe_VCAT,ParkFee_MT, ParkFee_Car , ParkFee_Taxi , ParkFee_Bus , ParkFee_VCAT ,NoTranfer_MT,NoTranfer_Car,NoTranfer_Taxi,NoTranfer_Bus,NoTranfer_VCAT
11,6,S4,VCAT,5,3,0,1,6,5,4,5,1,4,1,1,1,1,1,1,1,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,20,35,35,75,53,20,25,25,30,18,0,0,0,15,10,0,0,0,20,15,0,10,10,10,10,0,0,0,120,90,90,120,40,5000,10000,0,0,0,0,0,0,1,1
12,6,S4,VCAT,5,3,0,0,6,5,4,5,1,4,1,1,1,1,1,1,0,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,20,35,35,75,53,20,25,25,30,18,0,0,0,15,10,0,0,0,20,15,0,10,10,10,10,10,10,0,120,90,90,120,40,5000,10000,0,0,0,0,0,0,1,1
13,7,S7,Motorbike,1,3,1,1,5,5,3,8,1,3,1,1,1,0,0,1,0,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,75,63,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,0,10,10,10,10,0,0,0,90,120,120,120,50,5000,10000,0,0,0,0,0,0,1,1
14,7,S8,VCAT,5,3,1,1,5,5,3,8,1,3,1,1,1,0,0,0,1,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,70,63,20,25,25,30,18,0,0,0,10,15,0,0,0,20,15,0,10,10,10,10,10,10,0,90,120,120,90,50,5000,10000,0,0,0,0,0,0,1,1
15,8,S6,Taxi,3,3,1,0,1,6,2,3,0,3,0,1,1,0,1,0,0,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,70,48,20,25,25,30,18,0,0,0,10,10,0,0,0,20,20,0,10,10,10,0,0,0,0,90,120,90,90,50,5000,10000,0,0,0,0,0,0,1,1
16,8,S6,Bus,4,3,1,0,1,6,2,3,0,3,0,1,1,0,1,0,0,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,70,53,20,25,25,30,18,0,0,0,10,10,0,0,0,20,15,0,10,10,10,10,10,0,0,90,120,120,90,50,5000,10000,0,0,0,0,0,0,1,1
17,9,S6,Taxi,3,3,0,1,3,3,2,5,1,2,1,1,0,0,1,0,0,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,70,48,20,25,25,30,18,0,0,0,10,10,0,0,0,20,20,0,10,10,10,0,0,0,0,90,120,90,90,50,5000,10000,0,0,0,0,0,0,1,1
18,9,S6,Bus,4,3,0,1,3,3,2,5,1,2,1,1,0,0,1,0,0,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,70,53,20,25,25,30,18,0,0,0,10,10,0,0,0,20,15,0,10,10,10,10,10,0,0,90,120,120,90,50,5000,10000,0,0,0,0,0,0,1,1
19,10,S5,Taxi,3,3,0,0,2,5,3,7,1,1,1,1,1,1,1,1,1,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,75,43,20,25,25,30,18,0,0,0,15,10,0,0,0,20,15,0,10,10,10,0,0,0,0,120,90,90,120,40,5000,10000,0,0,0,0,0,0,1,1
20,10,S6,Bus,4,3,0,0,2,5,3,7,1,1,1,1,1,0,1,0,0,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,70,58,20,25,25,30,18,0,0,0,10,10,0,0,0,20,20,0,10,10,10,10,10,0,0,120,90,90,90,50,5000,10000,0,0,0,0,0,0,1,1
21,11,S3,Bus,4,3,0,0,2,1,3,8,1,3,1,1,1,1,0,1,0,21500,52000,66000,19000,29000,16500,42000,66000,15000,29000,20,25,25,65,58,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,0,0,0,0,0,0,0,0,120,120,120,120,40,5000,10000,0,0,0,0,0,0,1,1
22,11,S4,Taxi,3,3,0,0,2,1,3,8,1,3,1,1,1,1,0,0,1,21500,52000,66000,19000,29000,16500,42000,66000,15000,29000,20,25,25,65,58,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,0,0,0,0,0,10,10,0,120,120,90,90,40,5000,10000,0,0,0,0,0,0,1,1
23,12,S6,Bus,4,3,0,0,2,5,2,8,1,4,0,1,0,0,1,0,0,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,70,53,20,25,25,30,18,0,0,0,10,10,0,0,0,20,15,0,10,10,10,10,0,0,0,120,90,90,90,50,5000,10000,0,0,0,0,0,0,1,1
24,12,S4,VCAT,5,3,0,0,2,5,2,8,1,4,0,1,0,1,1,1,0,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,20,35,35,75,53,20,25,25,30,18,0,0,0,15,10,0,0,0,20,15,0,10,10,10,10,10,10,0,120,90,90,120,40,5000,10000,0,0,0,0,0,0,1,1
25,13,S2,VCAT,5,3,0,0,2,6,4,6,1,2,1,1,1,0,1,0,0,21500,52000,66000,19000,29000,16500,42000,66000,15000,29000,20,25,25,60,48,20,25,25,30,23,0,0,0,10,10,0,0,0,20,15,0,0,0,0,0,0,0,0,120,120,120,90,50,5000,10000,0,0,0,0,0,0,1,1
26,13,S4,Bus,4,3,0,0,2,6,4,6,1,2,1,1,1,1,0,0,1,21500,52000,66000,19000,29000,16500,42000,66000,15000,29000,20,25,25,65,58,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,0,0,0,0,0,10,0,0,120,120,120,90,40,5000,10000,0,0,0,0,0,0,1,1
27,14,S2,Taxi,3,3,0,0,1,3,2,8,1,5,0,1,1,0,1,0,0,21500,52000,66000,19000,29000,16500,42000,66000,15000,29000,20,25,25,60,53,20,25,25,30,23,0,0,0,10,10,0,0,0,20,20,0,0,0,0,0,0,0,0,120,120,90,90,50,5000,10000,0,0,0,0,0,0,1,1
28,14,S5,VCAT,5,3,0,0,1,3,2,8,1,5,0,1,1,1,0,0,1,21500,52000,66000,19000,34000,16500,42000,66000,15000,34000,20,25,25,65,53,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,0,0,0,0,0,10,10,0,120,120,120,90,40,5000,10000,0,0,0,0,0,0,1,1
29,15,S5,Taxi,3,3,0,0,2,1,2,8,1,1,1,1,1,1,1,1,1,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,75,43,20,25,25,30,18,0,0,0,15,10,0,0,0,20,15,0,10,10,10,0,0,0,0,120,90,90,120,40,5000,10000,0,0,0,0,0,0,1,1
30,15,S7,Taxi,3,3,0,0,2,1,2,8,1,1,1,1,1,0,0,1,0,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,75,53,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,0,10,10,10,0,10,10,0,120,90,90,120,50,5000,10000,0,0,0,0,0,0,1,1
31,16,S2,VCAT,5,3,1,1,5,8,3,8,1,2,1,1,0,0,1,0,0,21500,52000,66000,19000,29000,16500,42000,66000,15000,29000,20,25,25,60,48,20,25,25,30,23,0,0,0,10,10,0,0,0,20,15,0,0,0,0,0,0,0,0,120,120,120,90,50,5000,10000,0,0,0,0,0,0,1,1
32,16,S5,VCAT,5,3,1,1,6,8,3,8,1,2,1,1,0,1,0,0,1,21500,52000,66000,19000,34000,16500,42000,66000,15000,34000,20,25,25,65,53,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,0,0,0,0,0,10,10,0,120,120,120,90,40,5000,10000,0,0,0,0,0,0,1,0
33,17,S2,VCAT,5,3,0,1,2,5,2,7,0,2,0,1,1,0,1,0,0,21500,52000,66000,19000,29000,16500,42000,66000,15000,29000,20,25,25,60,48,20,25,25,30,23,0,0,0,10,10,0,0,0,20,15,0,0,0,0,0,0,0,0,120,120,120,90,50,5000,10000,0,0,0,0,0,0,1,1
34,17,S4,Bus,4,3,0,1,2,5,2,7,0,2,0,1,1,1,0,0,1,21500,52000,66000,19000,29000,16500,42000,66000,15000,29000,20,25,25,65,58,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,0,0,0,0,0,10,0,0,120,120,120,90,40,5000,10000,0,0,0,0,0,0,1,1
35,18,S6,Taxi,3,3,0,0,3,1,4,2,1,3,0,1,1,0,1,0,0,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,70,48,20,25,25,30,18,0,0,0,10,10,0,0,0,20,20,0,10,10,10,0,0,0,0,90,120,90,90,50,5000,10000,0,0,0,0,0,0,1,1
36,18,S6,Bus,4,3,0,0,3,1,4,2,1,3,0,1,1,0,1,0,0,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,70,53,20,25,25,30,18,0,0,0,10,10,0,0,0,20,15,0,10,10,10,10,10,0,0,90,120,120,90,50,5000,10000,0,0,0,0,0,0,1,1
37,19,S1,VCAT,5,1,1,0,1,6,1,1,1,5,1,1,1,1,1,1,1,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,60,43,20,25,25,30,18,0,0,0,10,10,0,0,0,20,15,0,0,0,0,0,0,0,0,90,90,90,120,40,5000,10000,0,0,0,0,0,0,1,1
38,19,S3,Bus,4,1,1,0,1,6,1,1,1,5,1,1,1,1,0,1,0,21500,52000,66000,19000,29000,16500,42000,66000,15000,29000,20,25,25,65,53,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,0,0,0,0,0,10,0,0,90,90,90,120,40,5000,10000,0,0,0,0,0,0,1,1
39,20,S6,Bus,4,3,1,1,5,2,2,8,1,3,1,1,1,0,1,0,0,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,70,58,20,25,25,30,18,0,0,0,10,10,0,0,0,20,20,0,10,10,10,10,0,0,0,90,120,120,90,50,5000,10000,0,0,0,0,0,0,1,1
40,20,S8,VCAT,5,3,1,1,6,2,2,8,1,3,1,1,1,0,0,0,1,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,70,63,20,25,25,30,18,0,0,0,10,15,0,0,0,20,15,0,10,10,10,10,10,10,0,90,120,120,90,50,5000,10000,0,0,0,0,0,0,1,1
41,21,S2,VCAT,5,3,0,0,2,3,2,8,1,5,1,1,0,0,1,0,0,21500,52000,66000,19000,29000,16500,42000,66000,15000,29000,20,25,25,60,48,20,25,25,30,23,0,0,0,10,10,0,0,0,20,15,0,0,0,0,0,0,0,0,120,120,120,90,50,5000,10000,0,0,0,0,0,0,1,1
42,21,S4,Taxi,3,3,0,0,2,3,2,8,1,5,1,1,0,1,0,0,1,21500,52000,66000,19000,29000,16500,42000,66000,15000,29000,20,25,25,65,58,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,0,0,0,0,0,10,10,0,120,120,90,90,40,5000,10000,0,0,0,0,0,0,1,1
43,22,S1,VCAT,5,3,1,1,3,5,3,7,1,5,1,1,0,1,1,1,1,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,20,25,25,60,43,20,25,25,30,18,0,0,0,10,10,0,0,0,20,15,0,0,0,0,0,0,0,0,90,90,90,120,40,5000,10000,0,0,0,0,0,0,1,1
44,22,S3,Taxi,3,3,1,1,3,5,3,7,1,5,1,1,0,1,0,1,0,21500,52000,66000,19000,29000,16500,42000,66000,15000,29000,20,25,25,65,53,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,0,0,0,0,0,10,10,0,90,90,90,120,40,5000,10000,0,0,0,0,0,0,1,1
45,23,S2,VCAT,5,1,1,1,4,5,2,3,0,5,1,1,1,0,1,0,0,21500,52000,66000,19000,29000,16500,42000,66000,15000,29000,20,25,25,60,48,20,25,25,30,23,0,0,0,10,10,0,0,0,20,15,0,0,0,0,0,0,0,0,120,120,120,90,50,5000,10000,0,0,0,0,0,0,1,1
46,23,S4,Taxi,3,1,1,1,4,5,2,3,0,5,1,1,1,1,0,0,1,21500,52000,66000,19000,29000,16500,42000,66000,15000,29000,20,25,25,65,58,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,0,0,0,0,0,10,10,0,120,120,90,90,40,5000,10000,0,0,0,0,0,0,1,1
47,24,S2,Taxi,3,2,0,0,1,6,1,1,1,4,0,1,0,0,1,0,0,21500,52000,66000,19000,29000,16500,42000,66000,15000,29000,20,25,25,60,53,20,25,25,30,23,0,0,0,10,10,0,0,0,20,20,0,0,0,0,0,0,0,0,120,120,90,90,50,5000,10000,0,0,0,0,0,0,1,1
48,24,S5,VCAT,5,2,0,0,1,6,1,1,1,4,0,1,0,1,0,0,1,21500,52000,66000,19000,34000,16500,42000,66000,15000,34000,20,25,25,65,53,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,0,0,0,0,0,10,10,0,120,120,120,90,40,5000,10000,0,0,0,0,0,0,1,1
49,25,S2,Taxi,3,1,0,1,3,1,2,5,0,3,1,1,0,0,1,0,0,21500,52000,66000,19000,29000,16500,42000,66000,15000,29000,20,25,25,60,53,20,25,25,30,23,0,0,0,10,10,0,0,0,20,20,0,0,0,0,0,0,0,0,120,120,90,90,50,5000,10000,0,0,0,0,0,0,1,1
50,25,S4,Bus,4,1,0,1,3,1,2,5,0,3,1,1,0,1,0,0,1,21500,52000,66000,19000,29000,16500,42000,66000,15000,29000,20,25,25,65,58,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,0,0,0,0,0,10,0,0,120,120,120,90,40,5000,10000,0,0,0,0,0,0,1,1
51,26,S2,VCAT,5,2,0,1,3,1,2,2,1,2,1,1,1,0,1,0,0,21500,52000,66000,19000,29000,16500,42000,66000,15000,29000,20,25,25,60,48,20,25,25,30,23,0,0,0,10,10,0,0,0,20,15,0,0,0,0,0,0,0,0,120,120,120,90,50,5000,10000,0,0,0,0,0,0,1,1
52,26,S4,Bus,4,2,0,1,3,1,2,2,1,2,1,1,1,1,0,0,1,21500,52000,66000,19000,29000,16500,42000,66000,15000,29000,20,25,25,65,58,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,0,0,0,0,0,10,0,0,120,120,120,90,40,5000,10000,0,0,0,0,0,0,1,1
53,27,S3,Bus,4,2,0,1,2,1,2,2,1,4,1,0,0,1,0,1,0,21500,52000,66000,19000,29000,16500,42000,66000,15000,29000,20,25,25,65,58,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,0,0,0,0,0,0,0,0,120,120,120,120,40,5000,10000,0,0,0,0,0,0,1,1
54,27,S4,Car,2,2,0,1,2,1,2,2,1,4,1,0,0,1,0,0,1,21500,52000,66000,19000,29000,16500,42000,66000,15000,29000,20,25,25,65,58,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,0,0,0,0,0,10,10,0,120,120,90,90,40,5000,10000,0,0,0,0,0,0,1,1
55,28,S2,Taxi,3,1,1,0,2,5,4,6,1,4,1,1,1,0,1,0,0,21500,52000,66000,19000,29000,16500,42000,66000,15000,29000,20,25,25,60,53,20,25,25,30,23,0,0,0,10,10,0,0,0,20,20,0,0,0,0,0,0,0,0,120,120,90,90,50,5000,10000,0,0,0,0,0,0,1,1
56,28,S4,Car,2,1,1,0,2,5,4,6,1,4,1,1,1,1,0,0,1,21500,52000,66000,19000,29000,16500,42000,66000,15000,29000,20,25,25,65,58,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,0,0,0,0,0,10,10,0,120,120,90,90,40,5000,10000,0,0,0,0,0,0,1,1
57,29,S2,Taxi,3,1,0,0,2,6,4,5,1,5,1,1,1,0,1,0,0,21500,52000,66000,19000,29000,16500,42000,66000,15000,29000,20,25,25,60,53,20,25,25,30,23,0,0,0,10,10,0,0,0,20,20,0,0,0,0,0,0,0,0,120,120,120,90,50,5000,10000,0,0,0,0,0,0,1,1
58,29,S5,VCAT,5,1,0,0,2,6,4,5,1,5,1,1,1,1,0,0,1,21500,52000,66000,19000,34000,16500,42000,66000,15000,34000,20,25,25,65,53,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,0,0,0,0,0,10,10,0,120,120,120,90,40,5000,10000,0,0,0,0,0,0,1,1
59,30,S3,Bus,4,2,1,1,3,1,3,5,1,5,1,1,1,1,0,1,0,21500,52000,66000,19000,29000,16500,42000,66000,15000,29000,20,25,25,65,58,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,0,0,0,0,0,0,0,0,120,120,120,120,40,5000,10000,0,0,0,0,0,0,1,1
60,30,S4,Car,2,2,1,1,3,1,3,5,1,5,1,1,1,1,0,0,1,21500,52000,66000,19000,29000,16500,42000,66000,15000,29000,20,25,25,65,58,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,0,0,0,0,0,10,10,0,120,120,90,90,40,5000,10000,0,0,0,0,0,0,1,1
61,31,S2,VCAT,5,1,0,0,3,3,3,8,1,4,1,1,1,0,1,0,0,21500,52000,66000,19000,29000,16500,42000,66000,15000,29000,20,25,25,60,48,20,25,25,30,23,0,0,0,10,10,0,0,0,20,15,0,0,0,0,0,0,0,0,120,120,120,90,50,5000,10000,0,0,0,0,0,0,1,1
62,31,S5,VCAT,5,1,0,0,3,3,3,8,1,4,1,1,1,1,0,0,1,21500,52000,66000,19000,34000,16500,42000,66000,15000,34000,20,25,25,65,53,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,0,0,0,0,0,10,10,0,120,120,120,90,40,5000,10000,0,0,0,0,0,0,1,1
63,32,S2,Car,2,2,1,1,3,1,4,4,1,4,1,1,1,0,1,0,0,21500,52000,66000,19000,29000,16500,42000,66000,15000,29000,20,25,25,60,53,20,25,25,30,23,0,0,0,10,10,0,0,0,20,20,0,0,0,0,0,0,0,0,120,120,120,90,50,5000,10000,0,0,0,0,0,0,1,1
64,32,S4,Bus,4,2,1,1,3,1,4,4,1,4,1,1,1,1,0,0,1,21500,52000,66000,19000,29000,16500,42000,66000,15000,29000,20,25,25,65,58,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,0,0,0,0,0,10,0,0,120,120,120,90,40,5000,10000,0,0,0,0,0,0,1,1
65,33,S2,VCAT,5,1,1,1,6,1,4,7,1,4,1,1,1,0,1,0,0,21500,52000,66000,19000,29000,16500,42000,66000,15000,29000,20,25,25,60,48,20,25,25,30,23,0,0,0,10,10,0,0,0,20,15,0,0,0,0,0,0,0,0,120,120,120,90,50,5000,10000,0,0,0,0,0,0,1,1
66,33,S4,Car,2,1,1,1,5,1,4,7,1,4,1,1,1,1,0,0,1,21500,52000,66000,19000,29000,16500,42000,66000,15000,29000,20,25,25,65,58,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,0,0,0,0,0,10,10,0,120,120,120,90,40,5000,10000,0,0,0,0,0,0,1,1
67,34,S2,VCAT,5,1,1,1,6,2,4,8,1,5,1,1,1,0,1,0,0,21500,52000,66000,19000,29000,16500,42000,66000,15000,29000,20,25,25,60,48,20,25,25,30,23,0,0,0,10,10,0,0,0,20,15,0,0,0,0,0,0,0,0,120,120,120,90,50,5000,10000,0,0,0,0,0,0,1,1
68,34,S4,Bus,4,1,1,1,5,2,4,8,1,5,1,1,1,1,0,0,1,21500,52000,66000,19000,29000,16500,42000,66000,15000,29000,20,25,25,65,58,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,0,0,0,0,0,10,0,0,120,120,120,90,40,5000,10000,0,0,0,0,0,0,1,1
69,35,S2,Car,2,1,0,1,2,5,3,8,1,5,1,1,1,0,1,0,0,21500,52000,66000,19000,29000,16500,42000,66000,15000,29000,20,25,25,60,53,20,25,25,30,23,0,0,0,10,10,0,0,0,20,20,0,0,0,0,0,0,0,0,120,120,120,90,50,5000,10000,0,0,0,0,0,0,1,1
70,35,S4,Taxi,3,1,0,1,2,5,3,8,1,5,1,1,1,1,0,0,1,21500,52000,66000,19000,29000,16500,42000,66000,15000,29000,20,25,25,65,58,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,0,0,0,0,0,10,10,0,120,120,120,90,40,5000,10000,0,0,0,0,0,0,1,1
71,36,S2,VCAT,5,1,0,0,2,6,3,4,1,4,1,1,1,0,1,0,0,21500,52000,66000,19000,29000,16500,42000,66000,15000,29000,20,25,25,60,48,20,25,25,30,23,0,0,0,10,10,0,0,0,20,15,0,0,0,0,0,0,0,0,120,120,120,90,50,5000,10000,0,0,0,0,0,0,1,1
72,36,S4,Car,2,1,0,0,2,6,3,4,1,4,1,1,1,1,0,0,1,21500,52000,66000,19000,29000,16500,42000,66000,15000,29000,20,25,25,65,58,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,0,0,0,0,0,10,10,0,120,120,120,90,40,5000,10000,0,0,0,0,0,0,1,1
73,37,S3,Bus,4,1,0,1,5,2,3,3,1,4,1,1,1,1,0,1,0,21500,52000,66000,19000,29000,16500,42000,66000,15000,29000,20,25,25,65,58,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,0,0,0,0,0,0,0,0,120,120,120,120,40,5000,10000,0,0,0,0,0,0,1,1
74,37,S4,Taxi,3,1,0,1,5,2,3,3,1,4,1,1,1,1,0,0,1,21500,52000,66000,19000,29000,16500,42000,66000,15000,29000,20,25,25,65,58,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,0,0,0,0,0,10,10,0,120,120,120,90,40,5000,10000,0,0,0,0,0,0,1,1
75,38,S5,Taxi,3,1,0,0,2,1,1,3,0,5,1,1,1,1,1,1,1,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,75,43,20,25,25,30,18,0,0,0,15,10,0,0,0,20,15,0,10,10,10,0,0,0,0,120,90,90,120,40,5000,10000,0,0,0,0,0,0,1,1
76,38,S6,Bus,4,1,0,0,2,1,1,3,0,5,1,1,1,0,1,0,0,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,20,35,35,70,58,20,25,25,30,18,0,0,0,10,10,0,0,0,20,20,0,10,10,10,10,10,0,0,120,90,90,90,50,5000,10000,0,0,0,0,0,0,1,1
77,39,S2,VCAT,5,2,0,0,2,7,2,2,0,3,1,1,0,0,1,0,0,21500,52000,66000,19000,29000,16500,42000,66000,15000,29000,20,25,25,60,48,20,25,25,30,23,0,0,0,10,10,0,0,0,20,15,0,0,0,0,0,0,0,0,120,120,120,90,50,5000,10000,0,0,0,0,0,0,1,1
78,39,S4,Taxi,3,2,0,0,2,7,2,2,0,3,1,1,0,1,0,0,1,21500,52000,66000,19000,29000,16500,42000,66000,15000,29000,20,25,25,65,58,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,0,0,0,0,0,10,10,0,120,120,120,90,40,5000,10000,0,0,0,0,0,0,1,1
