No,ID,Scenario,Mode,Choice,Gender,Age,Marital,Nationality,Career1,Career,Education,VehOwner,VehOwner1,CarOwner,DrLicense,IndMotor,Hmotor,IndCar,Hcar,Hmem,Hinc,Hinc1,AirClass,AccTraveler,Partysize,TripPose1,TripPose,HandBag,CheckBag,TripDuration,TimeTraveled,TripOrigin,Distance,Samemode,TravelCost,InVehTime,Timesaving,NoTransfer, Userfriendly,Reasonable,Punctual,Safety,Comfort, Rapid, Convenience,Accessible,TCost_MT,TCost_Car,TCost_Taxi,TCost_Bus,TCost_VCAT,VehCost_MT, VehCost_Car ,VehCost_Taxi ,VehCost_Bus , VehCost_VCAT ,Ttime_MT,Ttime_Car, Ttime_Taxi ,Ttime_Bus,Ttime_VCAT,Vehtime_MT,Vehtime_Car,Vehtime_Taxi,Vehtime_Bus,Vehtime_VCAT,Accesstime_MT,Accesstime_Car,Accesstime_Taxi,Accesstime_Bus,Accesstime_VCAT,Wtime_MT,Wtime_Car,Wtime_Taxi,Wtime_Bus,Wtime_VCAT,Delay_MT,Delay_Car,Delay_Taxi,Delay_Bus,Delay_VCAT,Safe_MT,Safe_Car,Safe_Taxi,Safe_Bus,Safe_VCAT,ParkFee_MT, ParkFee_Car , ParkFee_Taxi , ParkFee_Bus , ParkFee_VCAT ,NoTranfer_MT,NoTranfer_Car,NoTranfer_Taxi,NoTranfer_Bus,NoTranfer_VCAT,Weacon_MT,Weacon_Car,Weacon_Taxi,Weacon_Bus,Weacon_VCAT,FlightCheck_MT,FlightCheck_Car,FlightCheck_Taxi,FlightCheck_Bus,FlightCheck_VCAT,SP_TripMT,SP_TripCar,SP_TripTaxi,SP_TripBus,SP_TripVCAT,SP_LugMT,SP_LugCar,SP_LugTaxi,SP_LugBus,SP_LugVCAT,SP_AccMT,SP_AccCar,SP_AccTaxi,SP_AccBus,SP_AccVCAT, ITC , PF ,TTC,IVT,AC,WT,STM,NF,DL,WC,FS,TPS,NLG,AT
11,6,S5,VCAT,5,0,5,1,1,3,3,3,1,1,1,1,0,0,3,3,4,4,5,1,1,2,1,1,1,0,1,3,3,5,2,3,1,5,3,5,5,5,5,5,4,5,4,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,83,83,83,83,83,18,18,18,18,18,10,10,10,10,10,15,15,15,15,15,0,0,0,0,0,40,40,40,40,40,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,"34,000",0,83,18,10,15,40,1,0,1,1,0,1,0
12,6,S7,VCAT,5,0,5,1,1,3,3,3,1,1,1,1,0,0,3,3,4,4,5,1,1,2,1,1,1,0,1,3,3,5,2,3,1,5,3,5,5,5,5,5,4,5,4,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,103,103,103,103,103,18,18,18,18,18,15,15,15,15,15,20,20,20,20,20,0,0,0,0,0,50,50,50,50,50,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"34,000",0,103,18,15,20,50,1,0,0,1,1,1,1
13,7,S6,Motorbike,1,1,5,0,1,3,3,2,1,1,0,1,2,2,3,3,3,6,8,1,1,1,3,4,2,2,3,5,2,7,2,1,2,5,3,4,5,5,5,4,4,4,4,21500,21500,21500,21500,21500,16500,16500,16500,16500,16500,110,110,110,110,110,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,90,90,90,5000,5000,5000,5000,5000,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"16,500","5,000",110,20,0,0,90,0,0,1,0,0,0,1
14,7,S8,VCAT,5,1,5,0,1,3,3,2,1,1,0,1,2,2,3,3,3,6,8,1,1,1,3,4,2,2,3,5,2,7,2,1,2,5,3,4,5,5,5,4,4,4,4,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,103,103,103,103,103,23,23,23,23,23,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,50,50,50,50,50,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"34,000",0,103,23,15,15,50,1,0,0,1,1,0,0
15,8,S6,Taxi,3,1,1,1,1,5,4,1,0,0,0,0,0,0,0,0,3,2,3,1,4,5,3,4,1,1,3,1,2,5,2,3,2,3,3,3,4,3,3,4,4,4,3,66000,66000,66000,66000,66000,66000,66000,66000,66000,66000,155,155,155,155,155,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,120,120,120,120,120,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"66,000",0,155,25,0,0,120,0,10,1,0,0,0,1
16,8,S8,Bus,4,1,1,1,1,5,4,1,0,0,0,0,0,0,0,0,3,2,3,1,4,5,3,4,1,1,3,1,2,5,2,3,2,3,3,3,4,3,3,4,4,4,3,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,195,195,195,195,195,30,30,30,30,30,15,15,15,15,15,20,20,20,20,20,10,10,10,10,10,120,120,120,120,120,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"19,000",0,195,30,15,20,120,11,10,0,0,1,0,0
17,9,S6,Taxi,3,0,3,0,1,2,0,1,1,1,1,1,1,2,1,1,2,4,5,1,0,2,2,2,1,1,2,2,3,10,0,3,2,3,3,3,3,4,4,4,2,3,4,66000,66000,66000,66000,66000,66000,66000,66000,66000,66000,155,155,155,155,155,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,120,120,120,120,120,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"66,000",0,155,25,0,0,120,0,10,1,0,0,0,1
18,9,S8,Bus,4,0,3,0,1,2,0,1,1,1,1,1,1,2,1,1,2,4,5,1,0,2,2,2,1,1,2,2,3,10,0,3,2,3,3,3,3,4,4,4,2,3,4,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,195,195,195,195,195,30,30,30,30,30,15,15,15,15,15,20,20,20,20,20,10,10,10,10,10,120,120,120,120,120,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"19,000",0,195,30,15,20,120,11,10,0,0,1,0,0
19,10,S5,Taxi,3,0,2,1,1,0,3,2,1,1,1,1,0,0,1,1,1,6,7,1,4,5,3,4,1,1,5,5,2,10,2,2,1,4,3,4,4,4,5,4,3,3,4,66000,66000,66000,66000,66000,66000,66000,66000,66000,66000,125,125,125,125,125,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,90,90,90,90,90,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,"66,000",0,125,25,0,0,90,0,10,1,0,0,1,0
20,10,S7,Bus,4,0,2,1,1,0,3,2,1,1,1,1,0,0,1,1,1,6,7,1,4,5,3,4,1,1,5,5,2,10,2,2,1,4,3,4,4,4,5,4,3,3,4,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,165,165,165,165,165,30,30,30,30,30,15,15,15,15,15,20,20,20,20,20,10,10,10,10,10,90,90,90,90,90,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"19,000",0,165,30,15,20,90,11,10,0,0,1,1,1
21,11,S2,Bus,4,0,2,1,1,0,0,2,1,1,0,1,0,0,1,1,3,6,8,1,4,5,3,4,1,1,4,1,2,15,2,4,1,4,4,4,4,4,4,4,5,5,5,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,180,180,180,180,180,30,30,30,30,30,10,10,10,10,10,20,20,20,20,20,0,0,0,0,0,120,120,120,120,120,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"19,000",0,180,30,10,20,120,11,0,1,0,0,0,1
22,11,S4,Taxi,3,0,2,1,1,0,0,2,1,1,0,1,0,0,1,1,3,6,8,1,4,5,3,4,1,1,4,1,2,15,2,4,1,4,4,4,4,4,4,4,5,5,5,66000,66000,66000,66000,66000,66000,66000,66000,66000,66000,145,145,145,145,145,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,120,120,120,120,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"66,000",0,145,25,0,0,120,0,0,1,0,1,0,0
23,12,S5,Bus,4,0,2,1,1,0,3,1,0,0,1,1,0,0,0,1,4,6,8,1,4,5,3,4,1,1,2,1,2,15,2,2,1,3,3,4,4,4,5,5,5,3,4,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,155,155,155,155,155,30,30,30,30,30,15,15,15,15,15,20,20,20,20,20,0,0,0,0,0,90,90,90,90,90,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"19,000",0,155,30,15,20,90,11,0,1,0,0,0,1
24,12,S7,VCAT,5,0,2,1,1,0,3,1,0,0,1,1,0,0,0,1,4,6,8,1,4,5,3,4,1,1,2,1,2,15,2,2,1,3,3,4,4,4,5,5,5,3,4,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,103,103,103,103,103,23,23,23,23,23,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,50,50,50,50,50,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"34,000",0,103,23,15,15,50,1,0,0,1,1,0,0
25,13,S2,VCAT,5,0,2,1,1,5,4,3,1,1,1,1,0,0,1,1,2,5,6,1,4,5,3,4,2,1,5,3,2,15,2,5,1,4,4,4,3,4,5,3,4,4,3,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,103,103,103,103,103,23,23,23,23,23,10,10,10,10,10,20,20,20,20,20,0,0,0,0,0,50,50,50,50,50,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"29,000",0,103,23,10,20,50,1,0,1,1,0,0,1
26,13,S4,Bus,4,0,2,1,1,5,4,3,1,1,1,1,0,0,1,1,2,5,6,1,4,5,3,4,2,1,5,3,2,15,2,5,1,4,4,4,3,4,5,3,4,4,3,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,160,160,160,160,160,30,30,30,30,30,10,10,10,10,10,20,20,20,20,20,10,10,10,10,10,90,90,90,90,90,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"19,000",0,160,30,10,20,90,11,10,1,0,1,0,0
27,14,S2,Taxi,3,0,1,1,1,2,0,1,1,1,1,1,0,0,0,3,5,6,8,1,4,5,3,4,2,1,4,5,2,10,2,3,1,4,4,3,3,5,5,4,5,2,2,66000,66000,66000,66000,66000,66000,66000,66000,66000,66000,145,145,145,145,145,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,120,120,120,120,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"66,000",0,145,25,0,0,120,0,0,1,0,0,0,1
28,14,S4,VCAT,5,0,1,1,1,2,0,1,1,1,1,1,0,0,0,3,5,6,8,1,4,5,3,4,2,1,4,5,2,10,2,3,1,4,4,3,3,5,5,4,5,2,2,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,98,98,98,98,98,23,23,23,23,23,15,15,15,15,15,20,20,20,20,20,0,0,0,0,0,40,40,40,40,40,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,"29,000",0,98,23,15,20,40,1,0,1,1,1,0,0
