No,Scenarios,ScenarioNumber,GroupID,IndID,MODE,TripPur_SP,ChkLug,Accomp,Cost_MT,Cost_Car,Cost_Taxi,Cost_Bus,Cost_VCAT,Park_MT,Park_Car,Park_Taxi,Park_Bus,Park_VCAT,VehTime_MT,VehTime_Car,VehTime_Taxi,VehTime_Bus,VehTime_VCAT,AccTime_MT,AccTime_Car,AccTime_Taxi,AccTime_Bus,AccTime_VCAT,WTime_MT,WTime_Car,WTime_Taxi,WTime_Bus,WTime_VCAT,SafeTime_MT,SafeTime_Car,SafeTime_Taxi,SafeTime_Bus,SafeTime_VCAT,Trans_MT,Trans_Car,Trans_Taxi,Trans_Bus,Trans_VCAT,Delay_MT,Delay_Car,Delay_Taxi,Delay_Bus,Delay_VCAT,WC_MT,WC_Car,WC_Taxi,WC_Bus,WC_VCAT,ChkIn_MT,ChkIn_Car,ChkIn_Taxi,ChkIn_Bus,ChkIn_VCAT
17,S6,6,4,9,taxi,business,No check-in luggage,Alone,16500,42000,66000,19000,34000,5000,10000,No ,No ,No,20,25,25,30,18,No ,No ,No ,15,15,No ,No ,No ,20,20,90,90,90,90,50,No ,No ,No ,One-time ,One-time,"On-time
arrival","10 min
delay ",10 min delay ,10 min delay ,Onarrival -time,Sunny ,Sunny ,Sunny ,Sunny ,Sunny,No ,No ,No ,No ,Yes
18,S8,8,4,9,airport bus,non-business,No check-in luggage,With family or friends,16500,42000,66000,19000,34000,5000,10000,No ,No ,No,20,25,25,30,23,No ,No ,No ,10,15,No ,No ,No ,20,15,120,120,120,120,50,No ,No ,No ,One-time ,One-time,"On-time
arrival","10 min
delay","10 min
delay ",10 min delay ,Onarrival -time,Sunny ,Sunny ,Sunny ,Sunny ,Sunny,No ,No ,No ,No ,Yes
19,S5,5,3,10,taxi,business,One-piece of check-in luggage,With family or friends,16500,42000,66000,19000,29000,5000,10000,No ,No ,No,20,25,25,30,23,No ,No ,No ,15,15,No ,No ,No ,20,15,90,90,90,90,40,No ,No ,No ,One-time ,One-time,"On-time
arrival","On-time
arrival","On-time
arrival ",10 min delay ,Onarrival -time,Sunny ,Sunny ,Sunny ,Sunny ,Sunny,No ,No ,No ,No ,Yes
20,S7,7,3,10,airport bus,non-business,One-piece of check-in luggage,Alone,16500,42000,66000,19000,34000,5000,10000,No ,No ,No,20,25,25,30,18,No ,No ,No ,15,15,No ,No ,No ,20,20,90,90,90,90,50,No ,No ,No ,One-time ,One-time,"On-time
arrival","10 min
delay ",10 min delay ,10 min delay ,Onarrival -time,Sunny ,Sunny ,Sunny ,Sunny ,Sunny,No ,No ,No ,No ,Yes
21,S2,2,2,11,airport bus,business,No check-in luggage,Alone,16500,42000,66000,19000,29000,5000,10000,No ,No ,No,20,25,25,30,23,No ,No ,No ,10,10,No ,No ,No ,20,20,120,120,120,120,50,No ,No ,No ,One-time ,One-time,"On-time
arrival","On-time
arrival","On-time
arrival","On-time
arrival","On-time
arrival",Rainy ,Rainy ,Rainy ,Rainy ,Rainy,No ,No ,No ,No ,Yes
22,S4,4,2,11,taxi,non-business,No check-in luggage,With family or friends,16500,42000,66000,19000,29000,5000,10000,No ,No ,No,20,25,25,30,23,No ,No ,No ,15,15,No ,No ,No ,20,20,120,120,120,120,40,No ,No ,No ,One-time ,One-time,"On-time
arrival","On-time
arrival","On-time
arrival ",10 min delay ,Onarrival -time,Rainy ,Rainy ,Rainy ,Rainy ,Rainy,No ,No ,No ,No ,Yes
23,S5,5,3,12,airport bus,business,One-piece of check-in luggage,With family or friends,16500,42000,66000,19000,29000,5000,10000,No ,No ,No,20,25,25,30,23,No ,No ,No ,15,15,No ,No ,No ,20,15,90,90,90,90,40,No ,No ,No ,One-time ,One-time,"On-time
arrival","On-time
arrival","On-time
arrival ",10 min delay ,Onarrival -time,Sunny ,Sunny ,Sunny ,Sunny ,Sunny,No ,No ,No ,No ,Yes
24,S7,7,3,12,limousine bus,non-business,One-piece of check-in luggage,Alone,16500,42000,66000,19000,34000,5000,10000,No ,No ,No,20,25,25,30,18,No ,No ,No ,15,15,No ,No ,No ,20,20,90,90,90,90,50,No ,No ,No ,One-time ,One-time,"On-time
arrival","10 min
delay ",10 min delay ,10 min delay ,Onarrival -time,Sunny ,Sunny ,Sunny ,Sunny ,Sunny,No ,No ,No ,No ,Yes
25,S2,2,2,13,limousine bus,business,No check-in luggage,Alone,16500,42000,66000,19000,29000,5000,10000,No ,No ,No,20,25,25,30,23,No ,No ,No ,10,10,No ,No ,No ,20,20,120,120,120,120,50,No ,No ,No ,One-time ,One-time,"On-time
arrival","On-time
arrival","On-time
arrival","On-time
arrival","On-time
arrival",Rainy ,Rainy ,Rainy ,Rainy ,Rainy,No ,No ,No ,No ,Yes
26,S4,4,2,13,airport bus,non-business,No check-in luggage,With family or friends,16500,42000,66000,19000,29000,5000,10000,No ,No ,No,20,25,25,30,23,No ,No ,No ,15,15,No ,No ,No ,20,20,120,120,120,120,40,No ,No ,No ,One-time ,One-time,"On-time
arrival","On-time
arrival","On-time
arrival ",10 min delay ,Onarrival -time,Rainy ,Rainy ,Rainy ,Rainy ,Rainy,No ,No ,No ,No ,Yes
27,S2,2,2,14,taxi,business,No check-in luggage,Alone,16500,42000,66000,19000,29000,5000,10000,No ,No ,No,20,25,25,30,23,No ,No ,No ,10,10,No ,No ,No ,20,20,120,120,120,120,50,No ,No ,No ,One-time ,One-time,"On-time
arrival","On-time
arrival","On-time
arrival","On-time
arrival","On-time
arrival",Rainy ,Rainy ,Rainy ,Rainy ,Rainy,No ,No ,No ,No ,Yes
28,S4,4,2,14,limousine bus,non-business,No check-in luggage,With family or friends,16500,42000,66000,19000,29000,5000,10000,No ,No ,No,20,25,25,30,23,No ,No ,No ,15,15,No ,No ,No ,20,20,120,120,120,120,40,No ,No ,No ,One-time ,One-time,"On-time
arrival","On-time
arrival","On-time
arrival ",10 min delay ,Onarrival -time,Rainy ,Rainy ,Rainy ,Rainy ,Rainy,No ,No ,No ,No ,Yes
29,S5,5,3,15,taxi,business,One-piece of check-in luggage,With family or friends,16500,42000,66000,19000,29000,5000,10000,No ,No ,No,20,25,25,30,23,No ,No ,No ,15,15,No ,No ,No ,20,15,90,90,90,90,40,No ,No ,No ,One-time ,One-time,"On-time
arrival","On-time
arrival","On-time
arrival ",10 min delay ,Onarrival -time,Sunny ,Sunny ,Sunny ,Sunny ,Sunny,No ,No ,No ,No ,Yes
30,S7,7,3,15,taxi,non-business,One-piece of check-in luggage,Alone,16500,42000,66000,19000,34000,5000,10000,No ,No ,No,20,25,25,30,18,No ,No ,No ,15,15,No ,No ,No ,20,20,90,90,90,90,50,No ,No ,No ,One-time ,One-time,"On-time
arrival","10 min
delay ",10 min delay ,10 min delay ,Onarrival -time,Sunny ,Sunny ,Sunny ,Sunny ,Sunny,No ,No ,No ,No ,Yes
31,S2,2,2,16,limousine bus,business,No check-in luggage,Alone,16500,42000,66000,19000,29000,5000,10000,No ,No ,No,20,25,25,30,23,No ,No ,No ,10,10,No ,No ,No ,20,20,120,120,120,120,50,No ,No ,No ,One-time ,One-time,"On-time
arrival","On-time
arrival","On-time
arrival","On-time
arrival","On-time
arrival",Rainy ,Rainy ,Rainy ,Rainy ,Rainy,No ,No ,No ,No ,Yes
32,S4,4,2,16,limousine bus,non-business,No check-in luggage,With family or friends,16500,42000,66000,19000,29000,5000,10000,No ,No ,No,20,25,25,30,23,No ,No ,No ,15,15,No ,No ,No ,20,20,120,120,120,120,40,No ,No ,No ,One-time ,One-time,"On-time
arrival","On-time
arrival","On-time
arrival ",10 min delay ,Onarrival -time,Rainy ,Rainy ,Rainy ,Rainy ,Rainy,No ,No ,No ,No ,Yes
33,S2,2,2,17,limousine bus,business,No check-in luggage,Alone,16500,42000,66000,19000,29000,5000,10000,No ,No ,No,20,25,25,30,23,No ,No ,No ,10,10,No ,No ,No ,20,20,120,120,120,120,50,No ,No ,No ,One-time ,One-time,"On-time
arrival","On-time
arrival","On-time
arrival","On-time
arrival","On-time
arrival",Rainy ,Rainy ,Rainy ,Rainy ,Rainy,No ,No ,No ,No ,Yes
34,S4,4,2,17,airport bus,non-business,No check-in luggage,With family or friends,16500,42000,66000,19000,29000,5000,10000,No ,No ,No,20,25,25,30,23,No ,No ,No ,15,15,No ,No ,No ,20,20,120,120,120,120,40,No ,No ,No ,One-time ,One-time,"On-time
arrival","On-time
arrival","On-time
arrival ",10 min delay ,Onarrival -time,Rainy ,Rainy ,Rainy ,Rainy ,Rainy,No ,No ,No ,No ,Yes
35,S6,6,4,18,taxi,business,No check-in luggage,Alone,16500,42000,66000,19000,34000,5000,10000,No ,No ,No,20,25,25,30,18,No ,No ,No ,15,15,No ,No ,No ,20,20,90,90,90,90,50,No ,No ,No ,One-time ,One-time,"On-time
arrival","10 min
delay ",10 min delay ,10 min delay ,Onarrival -time,Sunny ,Sunny ,Sunny ,Sunny ,Sunny,No ,No ,No ,No ,Yes
36,S8,8,4,18,airport bus,non-business,No check-in luggage,With family or friends,16500,42000,66000,19000,34000,5000,10000,No ,No ,No,20,25,25,30,23,No ,No ,No ,10,15,No ,No ,No ,20,15,120,120,120,120,50,No ,No ,No ,One-time ,One-time,"On-time
arrival","10 min
delay","10 min
delay ",10 min delay ,Onarrival -time,Sunny ,Sunny ,Sunny ,Sunny ,Sunny,No ,No ,No ,No ,Yes
37,S1,1,1,19,limousine bus,business,One-piece of check-in luggage,With family or friends,16500,42000,66000,19000,29000,5000,10000,No ,No ,No,20,25,25,30,18,No ,No ,No ,10,10,No ,No ,No ,20,15,90,90,90,90,40,No ,No ,No ,One-time ,One-time,"On-time
arrival","On-time
arrival","On-time
arrival","On-time
arrival","On-time
arrival",Sunny ,Sunny ,Sunny ,Sunny ,Sunny,No ,No ,No ,No ,Yes
38,S3,3,1,19,airport bus,non-business,One-piece of check-in luggage,Alone,16500,42000,66000,19000,29000,5000,10000,No ,No ,No,20,25,25,30,23,No ,No ,No ,15,15,No ,No ,No ,20,15,90,90,90,90,40,No ,No ,No ,One-time ,One-time,"On-time
arrival","On-time
arrival","On-time
arrival ",10 min delay ,Onarrival -time,Sunny ,Sunny ,Sunny ,Sunny ,Sunny,No ,No ,No ,No ,Yes
39,S6,6,4,20,airport bus,business,No check-in luggage,Alone,16500,42000,66000,19000,34000,5000,10000,No ,No ,No,20,25,25,30,18,No ,No ,No ,15,15,No ,No ,No ,20,20,90,90,90,90,50,No ,No ,No ,One-time ,One-time,"On-time
arrival","10 min
delay ",10 min delay ,10 min delay ,Onarrival -time,Sunny ,Sunny ,Sunny ,Sunny ,Sunny,No ,No ,No ,No ,Yes
40,S8,8,4,20,limousine bus,non-business,No check-in luggage,With family or friends,16500,42000,66000,19000,34000,5000,10000,No ,No ,No,20,25,25,30,23,No ,No ,No ,10,15,No ,No ,No ,20,15,120,120,120,120,50,No ,No ,No ,One-time ,One-time,"On-time
arrival","10 min
delay","10 min
delay ",10 min delay ,Onarrival -time,Sunny ,Sunny ,Sunny ,Sunny ,Sunny,No ,No ,No ,No ,Yes
41,S2,2,2,21,limousine bus,business,No check-in luggage,Alone,16500,42000,66000,19000,29000,5000,10000,No ,No ,No,20,25,25,30,23,No ,No ,No ,10,10,No ,No ,No ,20,20,120,120,120,120,50,No ,No ,No ,One-time ,One-time,"On-time
arrival","On-time
arrival","On-time
arrival","On-time
arrival","On-time
arrival",Rainy ,Rainy ,Rainy ,Rainy ,Rainy,No ,No ,No ,No ,Yes
42,S4,4,2,21,taxi,non-business,No check-in luggage,With family or friends,16500,42000,66000,19000,29000,5000,10000,No ,No ,No,20,25,25,30,23,No ,No ,No ,15,15,No ,No ,No ,20,20,120,120,120,120,40,No ,No ,No ,One-time ,One-time,"On-time
arrival","On-time
arrival","On-time
arrival ",10 min delay ,Onarrival -time,Rainy ,Rainy ,Rainy ,Rainy ,Rainy,No ,No ,No ,No ,Yes
43,S1,1,1,22,limousine bus,business,One-piece of check-in luggage,With family or friends,16500,42000,66000,19000,29000,5000,10000,No ,No ,No,20,25,25,30,18,No ,No ,No ,10,10,No ,No ,No ,20,15,90,90,90,90,40,No ,No ,No ,One-time ,One-time,"On-time
arrival","On-time
arrival","On-time
arrival","On-time
arrival","On-time
arrival",Sunny ,Sunny ,Sunny ,Sunny ,Sunny,No ,No ,No ,No ,Yes
44,S3,3,1,22,taxi,non-business,One-piece of check-in luggage,Alone,16500,42000,66000,19000,29000,5000,10000,No ,No ,No,20,25,25,30,23,No ,No ,No ,15,15,No ,No ,No ,20,15,90,90,90,90,40,No ,No ,No ,One-time ,One-time,"On-time
arrival","On-time
arrival","On-time
arrival ",10 min delay ,Onarrival -time,Sunny ,Sunny ,Sunny ,Sunny ,Sunny,No ,No ,No ,No ,Yes
45,S2,2,2,23,limousine bus,business,No check-in luggage,Alone,16500,42000,66000,19000,29000,5000,10000,No ,No ,No,20,25,25,30,23,No ,No ,No ,10,10,No ,No ,No ,20,20,120,120,120,120,50,No ,No ,No ,One-time ,One-time,"On-time
arrival","On-time
arrival","On-time
arrival","On-time
arrival","On-time
arrival",Rainy ,Rainy ,Rainy ,Rainy ,Rainy,No ,No ,No ,No ,Yes
46,S4,4,2,23,taxi,non-business,No check-in luggage,With family or friends,16500,42000,66000,19000,29000,5000,10000,No ,No ,No,20,25,25,30,23,No ,No ,No ,15,15,No ,No ,No ,20,20,120,120,120,120,40,No ,No ,No ,One-time ,One-time,"On-time
arrival","On-time
arrival","On-time
arrival ",10 min delay ,Onarrival -time,Rainy ,Rainy ,Rainy ,Rainy ,Rainy,No ,No ,No ,No ,Yes
47,S2,2,2,24,taxi,business,No check-in luggage,Alone,16500,42000,66000,19000,29000,5000,10000,No ,No ,No,20,25,25,30,23,No ,No ,No ,10,10,No ,No ,No ,20,20,120,120,120,120,50,No ,No ,No ,One-time ,One-time,"On-time
arrival","On-time
arrival","On-time
arrival","On-time
arrival","On-time
arrival",Rainy ,Rainy ,Rainy ,Rainy ,Rainy,No ,No ,No ,No ,Yes
48,S4,4,2,24,limousine bus,non-business,No check-in luggage,With family or friends,16500,42000,66000,19000,29000,5000,10000,No ,No ,No,20,25,25,30,23,No ,No ,No ,15,15,No ,No ,No ,20,20,120,120,120,120,40,No ,No ,No ,One-time ,One-time,"On-time
arrival","On-time
arrival","On-time
arrival ",10 min delay ,Onarrival -time,Rainy ,Rainy ,Rainy ,Rainy ,Rainy,No ,No ,No ,No ,Yes
49,S2,2,2,25,taxi,business,No check-in luggage,Alone,16500,42000,66000,19000,29000,5000,10000,No ,No ,No,20,25,25,30,23,No ,No ,No ,10,10,No ,No ,No ,20,20,120,120,120,120,50,No ,No ,No ,One-time ,One-time,"On-time
arrival","On-time
arrival","On-time
arrival","On-time
arrival","On-time
arrival",Rainy ,Rainy ,Rainy ,Rainy ,Rainy,No ,No ,No ,No ,Yes
50,S4,4,2,25,airport bus,non-business,No check-in luggage,With family or friends,16500,42000,66000,19000,29000,5000,10000,No ,No ,No,20,25,25,30,23,No ,No ,No ,15,15,No ,No ,No ,20,20,120,120,120,120,40,No ,No ,No ,One-time ,One-time,"On-time
arrival","On-time
arrival","On-time
arrival ",10 min delay ,Onarrival -time,Rainy ,Rainy ,Rainy ,Rainy ,Rainy,No ,No ,No ,No ,Yes
51,S2,2,2,26,limousine bus,business,No check-in luggage,Alone,16500,42000,66000,19000,29000,5000,10000,No ,No ,No,20,25,25,30,23,No ,No ,No ,10,10,No ,No ,No ,20,20,120,120,120,120,50,No ,No ,No ,One-time ,One-time,"On-time
arrival","On-time
arrival","On-time
arrival","On-time
arrival","On-time
arrival",Rainy ,Rainy ,Rainy ,Rainy ,Rainy,No ,No ,No ,No ,Yes
52,S4,4,2,26,airport bus,non-business,No check-in luggage,With family or friends,16500,42000,66000,19000,29000,5000,10000,No ,No ,No,20,25,25,30,23,No ,No ,No ,15,15,No ,No ,No ,20,20,120,120,120,120,40,No ,No ,No ,One-time ,One-time,"On-time
arrival","On-time
arrival","On-time
arrival ",10 min delay ,Onarrival -time,Rainy ,Rainy ,Rainy ,Rainy ,Rainy,No ,No ,No ,No ,Yes
53,S2,2,2,27,airport bus,business,No check-in luggage,Alone,16500,42000,66000,19000,29000,5000,10000,No ,No ,No,20,25,25,30,23,No ,No ,No ,10,10,No ,No ,No ,20,20,120,120,120,120,50,No ,No ,No ,One-time ,One-time,"On-time
arrival","On-time
arrival","On-time
arrival","On-time
arrival","On-time
arrival",Rainy ,Rainy ,Rainy ,Rainy ,Rainy,No ,No ,No ,No ,Yes
54,S4,4,2,27,car,non-business,No check-in luggage,With family or friends,16500,42000,66000,19000,29000,5000,10000,No ,No ,No,20,25,25,30,23,No ,No ,No ,15,15,No ,No ,No ,20,20,120,120,120,120,40,No ,No ,No ,One-time ,One-time,"On-time
arrival","On-time
arrival","On-time
arrival ",10 min delay ,Onarrival -time,Rainy ,Rainy ,Rainy ,Rainy ,Rainy,No ,No ,No ,No ,Yes
55,S2,2,2,28,taxi,business,No check-in luggage,Alone,16500,42000,66000,19000,29000,5000,10000,No ,No ,No,20,25,25,30,23,No ,No ,No ,10,10,No ,No ,No ,20,20,120,120,120,120,50,No ,No ,No ,One-time ,One-time,"On-time
arrival","On-time
arrival","On-time
arrival","On-time
arrival","On-time
arrival",Rainy ,Rainy ,Rainy ,Rainy ,Rainy,No ,No ,No ,No ,Yes
56,S4,4,2,28,car,non-business,No check-in luggage,With family or friends,16500,42000,66000,19000,29000,5000,10000,No ,No ,No,20,25,25,30,23,No ,No ,No ,15,15,No ,No ,No ,20,20,120,120,120,120,40,No ,No ,No ,One-time ,One-time,"On-time
arrival","On-time
arrival","On-time
arrival ",10 min delay ,Onarrival -time,Rainy ,Rainy ,Rainy ,Rainy ,Rainy,No ,No ,No ,No ,Yes
57,S2,2,2,29,Taxi,business,No check-in luggage,Alone,16500,42000,66000,19000,29000,5000,10000,No ,No ,No,20,25,25,30,23,No ,No ,No ,10,10,No ,No ,No ,20,20,120,120,120,120,50,No ,No ,No ,One-time ,One-time,"On-time
arrival","On-time
arrival","On-time
arrival","On-time
arrival","On-time
arrival",Rainy ,Rainy ,Rainy ,Rainy ,Rainy,No ,No ,No ,No ,Yes
58,S4,4,2,29,limousine bus,non-business,No check-in luggage,With family or friends,16500,42000,66000,19000,29000,5000,10000,No ,No ,No,20,25,25,30,23,No ,No ,No ,15,15,No ,No ,No ,20,20,120,120,120,120,40,No ,No ,No ,One-time ,One-time,"On-time
arrival","On-time
arrival","On-time
arrival ",10 min delay ,Onarrival -time,Rainy ,Rainy ,Rainy ,Rainy ,Rainy,No ,No ,No ,No ,Yes
59,S2,2,2,30,airport bus,business,No check-in luggage,Alone,16500,42000,66000,19000,29000,5000,10000,No ,No ,No,20,25,25,30,23,No ,No ,No ,10,10,No ,No ,No ,20,20,120,120,120,120,50,No ,No ,No ,One-time ,One-time,"On-time
arrival","On-time
arrival","On-time
arrival","On-time
arrival","On-time
arrival",Rainy ,Rainy ,Rainy ,Rainy ,Rainy,No ,No ,No ,No ,Yes
60,S4,4,2,30,car,non-business,No check-in luggage,With family or friends,16500,42000,66000,19000,29000,5000,10000,No ,No ,No,20,25,25,30,23,No ,No ,No ,15,15,No ,No ,No ,20,20,120,120,120,120,40,No ,No ,No ,One-time ,One-time,"On-time
arrival","On-time
arrival","On-time
arrival ",10 min delay ,Onarrival -time,Rainy ,Rainy ,Rainy ,Rainy ,Rainy,No ,No ,No ,No ,Yes
61,S2,2,2,31,limousine bus,business,No check-in luggage,Alone,16500,42000,66000,19000,29000,5000,10000,No ,No ,No,20,25,25,30,23,No ,No ,No ,10,10,No ,No ,No ,20,20,120,120,120,120,50,No ,No ,No ,One-time ,One-time,"On-time
arrival","On-time
arrival","On-time
arrival","On-time
arrival","On-time
arrival",Rainy ,Rainy ,Rainy ,Rainy ,Rainy,No ,No ,No ,No ,Yes
