,,,,,,,,,TCost,TCost,TCost,TCost,TCost,Cost,Cost,Cost,Cost,Cost,Park,Park,Park,Park,Park,TTime,TTime,TTime,TTime,TTime,VehTime,VehTime,VehTime,VehTime,VehTime,AccTime,AccTime,AccTime,AccTime,AccTime,WTime,WTime,WTime,WTime,WTime,SafeTime,SafeTime,SafeTime,SafeTime,SafeTime,Trans,Trans,Trans,Trans,Trans,Delay,Delay,Delay,Delay,Delay,WC,WC,WC,WC,WC,ChkIn,ChkIn,ChkIn,ChkIn,ChkIn,,,,,,,,,,,,,,,
,,,,,,,,,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,MT,Car,Taxi,Bus,VCAT,,,,,,,,,,,,,,,
,,,,,,2,3,4,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,9,9,9,9,9,10,10,10,10,10,11,11,11,11,11,12,12,12,12,12,13,13,13,13,13,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
No,Scenarios,ScenarioNumber,GroupID,IndID,MODE,TripPur_SP,ChkLug,Accomp,TCost_MT,TCost_Car,TCost_Taxi,TCost_Bus,TCost_VCAT,Cost_MT,Cost_Car,Cost_Taxi,Cost_Bus,Cost_VCAT,Park_MT,Park_Car,Park_Taxi,Park_Bus,Park_VCAT,TTime_MT,TTime_Car,TTime_Taxi,TTime_Bus,TTime_VCAT,VehTime_MT,VehTime_Car,VehTime_Taxi,VehTime_Bus,VehTime_VCAT,AccTime_MT,AccTime_Car,AccTime_Taxi,AccTime_Bus,AccTime_VCAT,WTime_MT,WTime_Car,WTime_Taxi,WTime_Bus,WTime_VCAT,SafeTime_MT,SafeTime_Car,SafeTime_Taxi,SafeTime_Bus,SafeTime_VCAT,Trans_MT,Trans_Car,Trans_Taxi,Trans_Bus,Trans_VCAT,Delay_MT,Delay_Car,Delay_Taxi,Delay_Bus,Delay_VCAT,WC_MT,WC_Car,WC_Taxi,WC_Bus,WC_VCAT,ChkIn_MT,ChkIn_Car,ChkIn_Taxi,ChkIn_Bus,ChkIn_VCAT,Gender,Age,Married,Nat,Resident,Job,Edu,Veh_Own,DrL,Ind_MT,HH_MT,Ind_Car,HH_car,MODE_Main,CarB_Fu
9,S6,6,4,5,car,business,0,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,51-60,married,India,foreigner,Businessperson,master/doctor,yes,both,0,5,1,2,Private car,less 5
10,S8,8,4,5,car,non-business,0,With family or friends,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,15,0,0,0,20,15,120,120,120,120,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,51-60,married,India,foreigner,Businessperson,master/doctor,yes,both,0,5,1,2,Private car,less 5
11,S5,5,3,6,limousine bus,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,51-60,single,Singapore,foreigner,Private firm employee,master/doctor,yes,both,0,0,3,3,Private car,none
12,S7,7,3,6,limousine bus,non-business,1,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,51-60,single,Singapore,foreigner,Private firm employee,master/doctor,yes,both,0,0,3,3,Private car,none
13,S6,6,4,7,motorbike,business,0,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,51-60,married,Friench,foreigner,Private firm employee,Bachelor,yes,both,2,2,3,3,Tuk-tuk/Jumbo,less 5
14,S8,8,4,7,limousine bus,non-business,0,With family or friends,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,15,0,0,0,20,15,120,120,120,120,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,51-60,married,Friench,foreigner,Private firm employee,Bachelor,yes,both,2,2,3,3,Tuk-tuk/Jumbo,less 5
15,S6,6,4,8,Taxi,business,0,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,51-60,single,Singapore,foreigner,Student/pupil,college,no,Do not have,0,0,0,0,Tuk-tuk/Jumbo,5 – 10
16,S8,8,4,8,airport bus,non-business,0,With family or friends,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,15,0,0,0,20,15,120,120,120,120,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,51-60,single,Singapore,foreigner,Student/pupil,college,no,Do not have,0,0,0,0,Tuk-tuk/Jumbo,5 – 10
17,S6,6,4,9,taxi,business,0,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,41-50,married,China,foreigner,saleperson,college,yes,both,1,2,1,1,Private car,5 – 10
18,S8,8,4,9,airport bus,non-business,0,With family or friends,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,15,0,0,0,20,15,120,120,120,120,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,41-50,married,China,foreigner,saleperson,college,yes,both,1,2,1,1,Private car,5 – 10
19,S5,5,3,10,taxi,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,41-50,single,USA,foreigner,biochemist,Bachelor,yes,car,0,0,1,1,Private car,none
20,S7,7,3,10,airport bus,non-business,1,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,41-50,single,USA,foreigner,biochemist,Bachelor,yes,car,0,0,1,1,Private car,none
21,S2,2,2,11,airport bus,business,0,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,10,0,0,0,20,20,120,120,120,120,50,0,0,0,1,1,0,0,0,0,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,female,Above 60,single,Australia,foreigner,nurse,Bachelor,yes,car,0,0,1,1,public bus,5 – 10
22,S4,4,2,11,taxi,non-business,0,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,185,98,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,120,120,120,120,40,0,0,0,1,1,0,0,0,10,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,female,Above 60,single,Australia,foreigner,nurse,Bachelor,yes,car,0,0,1,1,public bus,5 – 10
23,S5,5,3,12,airport bus,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,Above 60,single,Australia,foreigner,waitress,college,no,car,0,0,0,1,Private car,none
24,S7,7,3,12,limousine bus,non-business,1,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,Above 60,single,Australia,foreigner,waitress,college,no,car,0,0,0,1,Private car,none
25,S2,2,2,13,limousine bus,business,0,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,10,0,0,0,20,20,120,120,120,120,50,0,0,0,1,1,0,0,0,0,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,female,51-60,single,USA,foreigner,Student/pupil,master/doctor,yes,car,0,0,1,1,Private car,none
26,S4,4,2,13,airport bus,non-business,0,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,185,98,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,120,120,120,120,40,0,0,0,1,1,0,0,0,10,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,female,51-60,single,USA,foreigner,Student/pupil,master/doctor,yes,car,0,0,1,1,Private car,none
27,S2,2,2,14,taxi,business,0,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,10,0,0,0,20,20,120,120,120,120,50,0,0,0,1,1,0,0,0,0,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,female,51-60,single,Australia,foreigner,saleperson,college,share with other,car,0,0,0,3,Private car,less 5
28,S4,4,2,14,limousine bus,non-business,0,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,185,98,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,120,120,120,120,40,0,0,0,1,1,0,0,0,10,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,female,51-60,single,Australia,foreigner,saleperson,college,share with other,car,0,0,0,3,Private car,less 5
29,S5,5,3,15,taxi,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,less or 20,single,Canada,foreigner,doctor,college,yes,car,0,0,1,1,Tuk-tuk/Jumbo,none
30,S7,7,3,15,taxi,non-business,1,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,less or 20,single,Canada,foreigner,doctor,college,yes,car,0,0,1,1,Tuk-tuk/Jumbo,none
31,S2,2,2,16,limousine bus,business,0,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,10,0,0,0,20,20,120,120,120,120,50,0,0,0,1,1,0,0,0,0,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,male,less or 20,married,USA,foreigner,Retired/Unemployed,Bachelor,yes,car,0,0,1,1,bicycle,none
32,S4,4,2,16,limousine bus,non-business,0,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,185,98,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,120,120,120,120,40,0,0,0,1,1,0,0,0,10,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,male,less or 20,married,USA,foreigner,Retired/Unemployed,Bachelor,yes,car,0,0,1,1,bicycle,none
33,S2,2,2,17,limousine bus,business,0,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,10,0,0,0,20,20,120,120,120,120,50,0,0,0,1,1,0,0,0,0,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,female,31-40,married,Canada,foreigner,marketing,college,no,Do not have,0,0,0,0,public bus,less 5
34,S4,4,2,17,airport bus,non-business,0,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,185,98,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,120,120,120,120,40,0,0,0,1,1,0,0,0,10,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,female,31-40,married,Canada,foreigner,marketing,college,no,Do not have,0,0,0,0,public bus,less 5
35,S6,6,4,18,taxi,business,0,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,31-40,single,0,foreigner,Government official,master/doctor,no,car,0,0,0,1,Private car,less 5
36,S8,8,4,18,airport bus,non-business,0,With family or friends,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,15,0,0,0,20,15,120,120,120,120,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,female,31-40,single,0,foreigner,Government official,master/doctor,no,car,0,0,0,1,Private car,less 5
37,S1,1,1,19,limousine bus,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,115,150,83,20,25,25,30,18,0,0,0,10,10,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,0,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,21-30,single,Lao,Vientiane,Student/pupil,under or high school,yes,car,0,0,1,4,Private car,5 – 10
38,S3,3,1,19,airport bus,non-business,1,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,21-30,single,Lao,Vientiane,Student/pupil,under or high school,yes,car,0,0,1,4,Private car,5 – 10
39,S6,6,4,20,airport bus,business,0,Alone,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,110,115,115,155,103,20,25,25,30,18,0,0,0,15,15,0,0,0,20,20,90,90,90,90,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,21-30,married,USA,foreigner,Businessperson,college,yes,both,1,1,3,3,Taxi,less 5
40,S8,8,4,20,limousine bus,non-business,0,With family or friends,21500,52000,66000,19000,34000,16500,42000,66000,19000,34000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,15,0,0,0,20,15,120,120,120,120,50,0,0,0,1,1,0,10,10,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,21-30,married,USA,foreigner,Businessperson,college,yes,both,1,1,3,3,Taxi,less 5
41,S2,2,2,21,limousine bus,business,0,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,10,0,0,0,20,20,120,120,120,120,50,0,0,0,1,1,0,0,0,0,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,female,21-30,single,New Zealand,foreigner,saleperson,college,yes,car,0,0,1,1,Private car,none
42,S4,4,2,21,taxi,non-business,0,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,185,98,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,120,120,120,120,40,0,0,0,1,1,0,0,0,10,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,female,21-30,single,New Zealand,foreigner,saleperson,college,yes,car,0,0,1,1,Private car,none
43,S1,1,1,22,limousine bus,business,1,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,115,150,83,20,25,25,30,18,0,0,0,10,10,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,0,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,21-30,married,0,foreigner,Private firm employee,Bachelor,yes,both,1,1,1,1,Private car,less 5
44,S3,3,1,22,taxi,non-business,1,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,110,115,145,155,93,20,25,25,30,23,0,0,0,15,15,0,0,0,20,15,90,90,90,90,40,0,0,0,1,1,0,0,0,10,0,Sunny,Sunny,Sunny,Sunny,Sunny,No,No,No,No,Yes,male,21-30,married,0,foreigner,Private firm employee,Bachelor,yes,both,1,1,1,1,Private car,less 5
45,S2,2,2,23,limousine bus,business,0,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,10,0,0,0,20,20,120,120,120,120,50,0,0,0,1,1,0,0,0,0,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,male,21-30,married,Lao,Vientiane,Private firm employee,college,yes,motorbike,1,1,0,0,Tuk-tuk/Jumbo,less 5
46,S4,4,2,23,taxi,non-business,0,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,185,98,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,120,120,120,120,40,0,0,0,1,1,0,0,0,10,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,male,21-30,married,Lao,Vientiane,Private firm employee,college,yes,motorbike,1,1,0,0,Tuk-tuk/Jumbo,less 5
47,S2,2,2,24,taxi,business,0,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,10,0,0,0,20,20,120,120,120,120,50,0,0,0,1,1,0,0,0,0,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,female,21-30,single,Lao,Non-Vientiane,Student/pupil,under or high school,no,motorbike,0,1,0,1,other,none
48,S4,4,2,24,limousine bus,non-business,0,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,185,98,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,120,120,120,120,40,0,0,0,1,1,0,0,0,10,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,female,21-30,single,Lao,Non-Vientiane,Student/pupil,under or high school,no,motorbike,0,1,0,1,other,none
49,S2,2,2,25,taxi,business,0,Alone,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,180,103,20,25,25,30,23,0,0,0,10,10,0,0,0,20,20,120,120,120,120,50,0,0,0,1,1,0,0,0,0,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,female,21-30,married,Lao,Vientiane,Government official,college,yes,motorbike,1,1,0,0,Motorbike,less 5
50,S4,4,2,25,airport bus,non-business,0,With family or friends,21500,52000,66000,19000,29000,16500,42000,66000,19000,29000,5000,10000,0,0,0,140,145,145,185,98,20,25,25,30,23,0,0,0,15,15,0,0,0,20,20,120,120,120,120,40,0,0,0,1,1,0,0,0,10,0,Rainy,Rainy,Rainy,Rainy,Rainy,No,No,No,No,Yes,female,21-30,married,Lao,Vientiane,Government official,college,yes,motorbike,1,1,0,0,Motorbike,less 5
